fecha;Viento_prom_ms;Viento_max_ms;Dir_viento_deg;T_aire_C;Punto_rocio_C;Hs_m;Ts_s;Tp_s;Dir_deg;T_agua;Hmax_m;hora_utc_usada;hora_objetivo_utc;Q_m3s;nivel_rel_m;marea_estado;area_km2;marea_subiendo
2025-07-11;7.5;8.9;192;8.1;5.1;2.32;10.0;16.7;228.5;11.97;4.17;14;14;74.941;0.756;subiendo;5.532;1
2025-07-16;5.2;6.2;182;9.4;4.4;2.14;9.0;13.3;235.2;11.83;2.98;15;14;72.786;-0.233;subiendo;3.803;1
2025-08-20;0.0;0.0;212;12.6;;1.63;10.7;9.5;245.3;13.45;2.43;14;14;62.513;0.562;bajando;5.711;0
2025-08-25;0.0;0.3;205;11.9;;2.6;9.1;12.5;229.4;12.97;4.28;14;14;90.816;0.394;subiendo;6.309;1
2025-09-04;0.1;0.3;209;9.2;;2.23;9.1;14.3;230.8;12.35;3.38;14;14;74.941;0.276;bajando;4.798;0
2025-09-09;0.0;0.1;83;10.8;;1.01;13.0;15.4;259.6;12.74;1.92;14;14;68.592;0.324;subiendo;2.756;1
2025-09-19;0.2;0.3;12;10.6;;1.4;8.9;8.7;264.2;12.89;2.14;14;14;53.944;0.691;pleamar;9.456;0
2025-09-24;0.1;0.3;228;12.6;;1.04;6.2;14.3;222.1;12.93;1.85;14;14;50.34;0.1;subiendo;5.37;1
2025-09-29;0.0;0.3;217;12.0;;3.34;11.3;13.3;230.2;12.19;5.36;14;14;68.592;-0.286;bajamar;5.431;0
2025-10-06;0.0;0.2;208;11.0;;2.61;9.5;13.3;233.3;11.98;4.03;13;13;74.941;0.588;subiendo;0.411;1
2025-10-09;0.1;0.3;236;8.9;;2.51;9.7;8.7;225.8;11.73;3.64;13;13;37.229;0.022;subiendo;14.357;1
2025-10-24;0.0;0.2;222;12.1;;2.31;12.2;13.3;230.9;12.93;3.94;13;13;30.794;-0.148;subiendo;0.137;1
2025-10-26;0.0;0.3;227;11.8;;2.23;9.1;13.3;227.9;11.59;3.47;13;13;31.466;-0.379;subiendo;1.908;1
2025-10-29;0.0;0.2;226;12.2;;1.51;11.2;22.2;245.7;13.5;2.26;13;13;26.887;-0.289;bajando;0.038;0
2025-11-13;0.0;0.0;0;12.4;11.3;2.38;8.6;9.1;222.6;12.52;3.96;13;13;25.042;-0.087;bajando;3.808;0
2025-11-28;0.0;0.0;32;16.1;13.0;1.08;11.1;12.5;250.6;16.18;1.59;13;13;57.669;-0.201;bajando;1.652;0
2025-12-05;0.0;0.0;0;15.2;14.1;2.35;11.2;13.3;217.8;14.71;3.32;13;13;45.176;0.205;subiendo;2.427;1
2025-12-13;0.0;0.0;0;15.7;12.7;1.25;10.0;11.1;221.3;17.28;1.94;13;13;31.466;-0.065;bajando;0.738;0
2025-12-23;0.0;0.0;0;13.7;11.6;1.17;6.3;5.4;224.0;13.68;1.91;13;13;21.072;-0.294;subiendo;1.196;1
2025-12-25;0.0;0.0;0;12.9;11.7;2.21;8.1;8.3;218.6;12.32;3.28;13;13;16.596;-0.566;bajamar;0.364;0
2025-12-28;0.0;0.0;0;13.7;12.8;1.96;8.8;11.1;214.6;12.85;2.75;13;13;18.993;-0.349;bajando;0.55;0
2026-01-07;0.0;0.0;0;17.1;16.0;1.27;9.3;12.5;231.7;16.55;2.13;13;13;31.466;-0.501;subiendo;0.841;1
2026-01-17;0.0;0.0;0;14.0;12.7;2.46;9.1;9.5;216.5;14.44;3.74;13;13;15.239;0.148;subiendo;0.935;1
2026-01-22;0.0;0.0;0;15.3;13.1;1.45;10.3;13.3;234.7;16.25;2.61;13;13;25.628;-0.248;subiendo;0.271;1
2026-01-27;0.0;0.0;0;15.6;14.5;1.69;11.6;12.5;222.1;16.98;2.42;13;13;40.3;-0.212;bajando;2.149;0
